DATE,ECOMNSA
1999-10-01,5241.0
2000-01-01,5553.0
2000-04-01,6059.0
2000-07-01,6892.0
2000-10-01,9104.0
2001-01-01,7923.0
2001-04-01,7816
2001-07-01,7737.0
2001-10-01,10784.0
2002-01-01,9621.0
2002-04-01,10076.0
2002-07-01,10760.0
2002-10-01,14166.0
2003-01-01,12358.0
2003-04-01,12973.0
2003-07-01,13909.0
2003-10-01,17915.0
2004-01-01,16201.0
2004-04-01,16502.0
2004-07-01,17371.0
2004-10-01,22523.0
2005-01-01,20142.0
2005-04-01,20953.0
2005-07-01,22171.0
2005-10-01,28121.0
2006-01-01,25490.0
2006-04-01,25817.0
2006-07-01,26892.0
2006-10-01,35135.0
2007-01-01,30403.0
2007-04-01,31589.0
2007-07-01,32352.0
2007-10-01,42126.0
2008-01-01,34270.0
2008-04-01,34260
2008-07-01,33486.0
2008-10-01,39576.0
2009-01-01,32284.0
2009-04-01,32924
2009-07-01,34494.0
2009-10-01,45805.0
2010-01-01,37059.0
2010-04-01,38467.0
2010-07-01,40075.0
2010-10-01,54320.0
2011-01-01,44252.0
2011-04-01,45442.0
2011-07-01,46188.0
2011-10-01,64504.0
2012-01-01,51822.0
2012-04-01,52627.0
2012-07-01,53878.0
2012-10-01,73869.0
2013-01-01,58100.0
2013-04-01,59753.0
2013-07-01,60776.0
2013-10-01,82929.0
2014-01-01,65242.0
2014-04-01,68619.0
2014-07-01,70071.0
2014-10-01,94057.0
2015-01-01,74242.0
2015-04-01,77934.0
2015-07-01,79643.0
2015-10-01,106418.0
2016-01-01,84079.0
2016-04-01,88850.0
2016-07-01,90483.0
2016-10-01,120054.0
2017-01-01,95932.0
2017-04-01,102797.0
2017-07-01,104719.0
2017-10-01,139773.0
2018-01-01,111673.0
2018-04-01,119007.0
2018-07-01,120311.0
2018-10-01,155124.0
2019-01-01,124384.0
2019-04-01,134714.0
2019-07-01,140538.0
2019-10-01,178865.0
2020-01-01,141521.0
2020-04-01,193624.0
2020-07-01,191573.0
2020-10-01,235957.0
2021-01-01,196808.0
2021-04-01,211704.0
